date,price
02/12/18-12:56:20,8586.42
02/12/18-23:18:53,8935.66
02/15/18-14:14:00,9878.71
02/16/18-14:00:44,10124.9
02/24/18-21:49:36,9743.61
03/01/18-23:20:22,11145.8
03/04/18-20:24:59,11442.3
03/05/18-16:52:42,11671.2
03/05/18-19:06:02,11599.6
03/07/18-09:01:24,10657.8
03/09/18-00:49:44,9082.15
03/12/18-17:44:02,9039.11
03/12/18-17:44:29,9039.11
03/12/18-17:45:02,9039.11
03/12/18-17:45:51,9039.11
03/12/18-17:47:07,9062.7 
03/12/18-19:07:10,9210.27
03/12/18-19:07:18,9210.27
03/12/18-19:08:12,9210.27
03/14/18-13:25:07,8764.11
03/14/18-18:10:51,8344.9 
03/16/18-14:00:08,8571.28
03/17/18-02:14:44,8222.32
03/17/18-17:28:52,7824.87
03/18/18-00:59:07,7714.02
03/19/18-11:21:07,8673.46
03/20/18-11:17:23,8533.26
03/20/18-11:19:20,8533.26
03/23/18-01:10:08,8443.41
03/26/18-14:09:02,8115.2
03/26/18-23:52:05,7944.34
03/28/18-14:09:32,7922.44
03/29/18-13:02:24,7450.7 
03/31/18-22:51:11,7059.74
04/01/18-14:23:55,6865.08
04/02/18-14:36:01,7012.38
04/03/18-17:14:01,7528.93
04/06/18-10:06:47,6621.16
04/06/18-13:00:22,6616.45
04/07/18-13:13:43,7033.98
04/07/18-13:21:05,7045.52
04/09/18-21:49:00,6779.76
04/09/18-22:34:05,6747.7 
04/10/18-23:07:27,6848.72
04/11/18-13:45:27,6925.01
04/11/18-19:30:05,6928.4 
04/14/18-23:10:10,8081.78
04/15/18-17:01:41,8285.45
04/15/18-22:38:00,8353.67
04/16/18-13:34:49,7962.03
04/16/18-19:19:36,8023.74
04/18/18-14:04:55,8115.33
04/18/18-14:16:06,8126.87
04/18/18-14:16:54,8126.87
04/18/18-14:17:43,8126.87
04/22/18-20:37:39,8800.08
04/23/18-20:11:51,8924.66
04/24/18-18:57:58,9468.69
04/25/18-10:51:07,9093.62
04/25/18-22:59:08,8815.81
04/28/18-01:51:31,9155.9 
04/28/18-17:34:35,9407.04
04/29/18-22:19:05,9426.88
05/02/18-12:50:56,9159.22
05/03/18-16:24:47,9673.24
05/04/18-00:23:38,9632.72
05/05/18-19:01:26,9793.1 
05/06/18-17:29:21,9562.99
05/06/18-22:59:22,9336.54
05/08/18-18:22:04,9210.71
05/14/18-12:22:13,8783.04
05/15/18-17:13:25,8559.63
05/15/18-23:53:38,8187.77
05/16/18-22:25:13,8376.34
05/19/18-23:57:42,8257.95
05/23/18-15:13:30,7565.85
05/25/18-14:20:13,7466.83
05/26/18-21:41:33,7284.13
05/29/18-12:28:09,7431.53
05/29/18-21:22:21,7474.84
05/30/18-11:59:33,7493.2
06/04/18-08:14:59,7599.34
06/05/18-09:29:36,7453.11
06/06/18-14:06:01,7536.45
06/09/18-00:12:19,7681.1
06/09/18-09:39:08,7645.51
